doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
about-change-of-mind-returns-buyer,data/shopee-returns/about-change-of-mind-returns-buyer.md,"Những điều cần biết về Trả hàng do ""Đổi ý/không còn nhu cầu""",https://help.shopee.vn/portal/4/article/204305-Nh%E1%BB%AFng-%C4%91i%E1%BB%81u-c%E1%BA%A7n-bi%E1%BA%BFt-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng-do-%22%C4%90%E1%BB%95i-%C3%BD%2Fkh%C3%B4ng-c%C3%B2n-nhu-c%E1%BA%A7u%22,2026-09-20,not-stated,public-source
about-change-of-mind-returns-seller,data/shopee-returns/about-change-of-mind-returns-seller.md,"Những điều cần biết về Trả hàng do ""Đổi ý/không còn nhu cầu""",https://help.shopee.vn/portal/4/article/204305-Nh%E1%BB%AFng-%C4%91i%E1%BB%81u-c%E1%BA%A7n-bi%E1%BA%BFt-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng-do-%22%C4%90%E1%BB%95i-%C3%BD%2Fkh%C3%B4ng-c%C3%B2n-nhu-c%E1%BA%A7u%22,2026-09-20,not-stated,public-source
buyer-cancel-order-guide,data/shopee-returns/buyer-cancel-order-guide.md,[Đơn hàng] Tôi có thể hủy đơn hàng không?,https://help.shopee.vn/portal/4/article/79182,2026-09-20,not-stated,public-source
buyer-return-refund-request-guide,data/shopee-returns/buyer-return-refund-request-guide.md,[Trả hàng/Hoàn tiền] Hướng dẫn gửi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79233,2026-09-20,not-stated,public-source
cancelled-order-recovery-and-reasons-buyer,data/shopee-returns/cancelled-order-recovery-and-reasons-buyer.md,[Hủy đơn hàng] Tôi có thể khôi phục lại đơn hàng đã hủy? Tại sao đơn hàng của tôi lại bị hủy?,https://help.shopee.vn/portal/4/article/79519,2026-09-20,not-stated,public-source
cancelled-order-recovery-and-reasons-seller,data/shopee-returns/cancelled-order-recovery-and-reasons-seller.md,[Hủy đơn hàng] Tôi có thể khôi phục lại đơn hàng đã hủy? Tại sao đơn hàng của tôi lại bị hủy?,https://help.shopee.vn/portal/4/article/79519,2026-09-20,not-stated,public-source
installation-service-warranty-and-returns-buyer,data/shopee-returns/installation-service-warranty-and-returns-buyer.md,Tổng Hợp Câu Hỏi Về Dịch Vụ Lắp Đặt Được Cung Cấp Bởi Đối Tác Của Shopee,https://help.shopee.vn/portal/4/article/79707,2026-09-20,not-stated,public-source
installation-service-warranty-and-returns-seller,data/shopee-returns/installation-service-warranty-and-returns-seller.md,Tổng Hợp Câu Hỏi Về Dịch Vụ Lắp Đặt Được Cung Cấp Bởi Đối Tác Của Shopee,https://help.shopee.vn/portal/4/article/79707,2026-09-20,not-stated,public-source
refund-timeline-and-check,data/shopee-returns/refund-timeline-and-check.md,[Trả hàng/Hoàn tiền] Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,https://help.shopee.vn/portal/4/article/189473,2026-09-20,not-stated,public-source
return-refund-handbook,data/shopee-returns/return-refund-handbook.md,[Trả hàng/Hoàn tiền] Cẩm nang Trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/79258,2026-09-20,not-stated,public-source
shopee-guarantee-buyer,data/shopee-returns/shopee-guarantee-buyer.md,[Mua sắm an toàn] Shopee Đảm Bảo là gì?,https://help.shopee.vn/portal/4/article/79314,2026-09-20,not-stated,public-source
shopee-guarantee-seller,data/shopee-returns/shopee-guarantee-seller.md,[Mua sắm an toàn] Shopee Đảm Bảo là gì?,https://help.shopee.vn/portal/4/article/79314,2026-09-20,not-stated,public-source
shopee-mall-terms-of-service-buyer,data/shopee-returns/shopee-mall-terms-of-service-buyer.md,Điều Khoản Dịch Vụ của Shopee Mall,https://help.shopee.vn/portal/4/article/77262,2026-09-20,not-stated,public-source
shopee-mall-terms-of-service-seller,data/shopee-returns/shopee-mall-terms-of-service-seller.md,Điều Khoản Dịch Vụ của Shopee Mall,https://help.shopee.vn/portal/4/article/77262,2026-09-20,not-stated,public-source
shopee-marketplace-operating-regulations-buyer,data/shopee-returns/shopee-marketplace-operating-regulations-buyer.md,QUY CHẾ HOẠT ĐỘNG SÀN THƯƠNG MẠI ĐIỆN TỬ SHOPEE.VN,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
shopee-marketplace-operating-regulations-seller,data/shopee-returns/shopee-marketplace-operating-regulations-seller.md,QUY CHẾ HOẠT ĐỘNG SÀN THƯƠNG MẠI ĐIỆN TỬ SHOPEE.VN,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
